id_lettera;testo
id_lettera;test
KBR_ms.III.1635_001;r molt illustr signor intes fort bleric capit bernab barbon rest cos poc gent senz polv senz viver giorn giorn seben persuad poss esser signor poic sa convien ricord avr rimed poss perc lasc avvert s reput pu succed convenient manier dic onde preg vol inform ben occorr particol cos dar ordin cos espress manc perc sold poss viv qualc munizion riserv polv necessar medesim effett scriv caval cigogn assist convien confid quand poss far avvis pi volentier dar ordin s abbandon smantell correr risic ricever qualc dann diminu reput aspett rispost rest preg signor cons signor pu brusselles marz signor servit alessandr farnes cont carl v molt illustr signor signor cont carl mansfelt
KBR_ms.III.1635_002;r molt illustr signor trovom due lett signor de’ dipo l’altr de’ portatam giovan francesc
KBR_ms.III.1635_003;r dupplic hier tard riceve signor de’ scritt ser nott l’altr cifr mattin sent può persuad fastid travagl ch’el trov caus appunt seben trincuart dic haver mand huomin ordin bastant manc pan quotid ordin part stess
KBR_ms.III.1635_004;r molt illustr signor hier don alons de leiv scriss signor manda confer occorr ser poi comparver lett monsignor de haultepenn qual avvis lev dall’assed nuys grav doman qual avvis già hav stival pied caric bagagl cas andar ser malines prosegu inanz viagg – essendom capit dua hor fa l’altr signor de’ nuov retir nemic – soprassed pens d’attender diligent convien preparation dissegn incammin tant prim cos dat ordin gent d’anvers soprassed partenz n’ess tant bisogn potr serv scolt present cos fratant ringrat signor diligent usat avvis pass m’occorr sol ricord proccur conserv post evit possibil entri vettovagl nè gent piazz ven monsignor de haultepenn stat molt ppropos saran cos oblighin contrar conven gent dall’altr part rivier doverr hav form sustent fin distrugg total part qua difficult dissegn poic cavaller assa potr commissar general retir compagn andat sec lor presid ordinar man scolt cos qua pot occorr tal occasion potr rimand qua cavall dell’antiglier aspett avvis quel man man succed lasc dar tutt frett possibil partenz fin preg signor guard signor può brusselles a’ magg servit devotissim alessandr farnes cont carl v molt illustr signor signor cont carl mansfelt receu reec de mai ’
KBR_ms.III.1635_005;r molt illustr signor ritorn don alons de leiv ven giovan francesc letter signor de’ rest avvis pass poic arriv l’official thessor denar trincuart form sustent gent
KBR_ms.III.1635_006;r molt illustr signor letter signor de hier vist par circ l’occup conserv post necessar quartier terz vecc m’è pars benissim consider conform ordin commissar general vad visit dett post – molt ben riconosciutol – effettu troverr conven pariment vist scriv circ paesan guastator poic fugg manier signif molt propos stat l’haver ordin scotett provision dinar appunt vec essi guastator
KBR_ms.III.1635_007;r molt illustr signor signor de mattin rest avvis termin rest pont quel pars farm intend intorn m’occorr dirl rispost maravigl molt soldatesc particolar nation spagnol abbandon manier signif band poic monition manc soccors va dand maggior assistent può essi poss rimed simil ’nconvenient poter tener gent maggior disciplin signor intend sergent maggior qualsivogl nation ciascun relation verdader firm man sold effettival serv present ciascun compagn lor terz regg me portin qui poter dar l’ordin convien soccors dar sub tal effett scriv maggior camp proccurin tratten sold insiem permettin sband intant ordin alli official aleman ven qui dia qualc aiut poss rimed necess lor gent pariment dat ordin ’l mezz canon bleric condutt cost prim potr ordin contador dell’artiglier facc dar commissar general cavall necessar condurl poic tant prest arriv circ altri punt dirl quind rest preg signor cons prosper molt illustr person signor desider gemmer a’ magg mutation dell quartier già rispost signor cont padr mand letter todeschin occorr
KBR_ms.III.987_001;r illustrissim signor l’istess consideration han moss signor rallegr mec promotion don duart figl cardinal congiunt part tocc ogni interess cas confidt bont amorevolezz sì rend assicur consolation signif hav sent cos ponn certific signor gratitudin obblig riconosc me affettu offit qual rend grat dev particol negot recension ven ritorn varisin soggiung signor me continu medesim prontezz volunt impieg ogn’altr occasion satisfattion servit dell’illustrissim person cas signor cons prosper brusselles a’ april signor illustrissim servit alessandr farnes
AGR_Audience2152-4_001;r illustrissim signor invi eccellt capit torqu terz particip eccellt pass stat lill pag piacchigl supplic humil eccellt rest serv darl cred rapresent nom eccellt fo humilissim rivert d’armentiers magg eccellt humilissim devotissim obligatissim servitor carl camp
AGR_Audience2152-4_003;r serenissim signor parl matin magistr vill allog reliqu dell tre terz italian cos dett arriv recever far allog barac per poi tocant darl qualc subsistt far mentr altezz ordin farl man comun quatr baliu des hauts justiciers pertant altezz serenissim sii serv invi ordin vill altro quatr baliu dell stat affin man comun vogl asist tre quatr piac giorn gent altriment alcanzarem cos alcun invi l’assed arras charr paes poi cinquant altri monition quas cavall pers licent dich altre provenc gran spes paes cos supplic altezz serenissim rest serv vol rimand altezz serenissim bisogn quand l’ordin invier sub quantit altezz serenissim desider fin humil inchin profondissim rivert lill l’ultim agost altezz serenissim humilissim obedientissim fedelissim servitor carl camp
AGR_Audience244-F_001;r illustr signor dell’ultim pass viv relation capit giul grimald prim altra via rest inform pien diligent valor terz s’è adoper l’acquist fort contr nimeghen nell’espugnation quel’altr castell
AGR_Audience257-BIS_001;r illustr signor stat gratissim avis signor m’ha dat dell pass ringrat molt sì anchor amorevolezz sol sudett mostr
AGR_Audience257-BIS_002;r illustr signor l’occasion perd bred altre concern servit maest convien camin sub ’l terz vers anvers tornout camin guid giovann dumont va effett conduc bagagl poic potr esser conveniss star qua qualc giorn havess bisogn campagn manc ferm dett tornout trov signor cont carl mansfelt ordin dov far essequ puntual sol conform confidt teng nell’amorevolezz prudenz valor andrà dar avis man man confid manc rest preg signor cons prosper desider brusselles a’ de marz signor servit alessandr farnes v all’illustr signor signor camill capizucc maestr camp d’infanter italian re signor
AGR_Audience257-BIS_003;r illustrissim reverendissim signor osservandissim poic ’l maestr camp camill capizucc d’ordin vien assistent cotest sant caus tert d’italian forz snerv necessar qua poc incomod risic cos stagion present teng incaric essibitor signor illustrissim occorr ch’i m’allarg essa bac man dupplic quell’affettu testimon continu osserv servit ch’ess capizucc può larg farl nom stim buon grat sincer prontezz disporr – sempr poss – essecution de’ comand onde rimett ala relation esso intorn ciò ala sol strettezz trov danar gent rest bac nuov man signor illustrissim preg signor ogni felic contentezz spa a’ xvii giugn signor illustrissim reverendissim affettionatissim servitor alessandr farnes leg caet v all’illustrissim reverendissim signor osservandissim signor enric caet leg santit parig
AGR_Audience257-BIS_004;r illustr signor istess temp man dell’alfier ventur ricevu dua signor de’ pass esse viv relation intes mot caus d’alcun trist mal intention segu cotest terz pront rimed diligent buon assistent dell capitan offitial magior general tutt honor soldatesc hav applic
AGR_Audience257-BIS_005;r illustr signor signor de’ present rest particip moss signor duc du mayn s’incammin via landresy brev volt quel occors notific benissim nè lasc ogni occasion d’avis man man progress proccur tutt diligent possibil condur gent sicur gionger prim eccellt d’intend ben don anton de cunig va cap gent spagnol nell’occasion combatt tener ben unit compost convien ogni cas anch’ess don anton habb compagn d’archibugier cavall consign due trov appress rest l’altr ten – dic – buon corrispondent intelligent sec accioc cos passin ordinat termin convenient so mediant avert altre diligent sapr usar fratant doverr arriv commendator more ricap sustantial pot giunt rimed necess gent aspett avvis ben fatt raccorr sott cotest terz italian troverrann franc vogl ved troverr qualc quantit dar ordin commissar l’intervent commendator more assent que trov lasc d’haver memor quand compar qualc gent d’ital hor m’occorr altro preg signor guard prosper l’illustr person può spa ali giugn signor servit alessandr farnes maestr camp capizucc v all’illustr signor signor camill capizucc maestr camp d’infanter italian re signor
AGR_Audience257-BIS_006;r molt magnif signor risol cos gent votr carg tutt l’altr hor nuov vien d’ital all’entr paes pigl mostr sapp numer effett d’ess poss dar gl’ordin convenient distribution m’è pars esser negot dell’important servit maest sa dar tal cur offitial contador quel d’alons carner absent esserc anton carner fratell vol avvert giunt incaric l’assist part tal mostr pass rettitudin convien prest cred carg autor dev amorevolezz confid qual carner consign list registr cotest band qualsivogl person port caric conform dell’ordin tal effett ’l port altro present signor cons guard brusselles a’ d’ottobr piacer alessandr farnes capit biag capizucc v molt magnif signor signor biag capizucc capit cavall re signor
